                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.100/  ct = 0.010/  initial temp = 1.00E+02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    Temp        N/H          P          D/H         T/H        He3/H        He4        Li6/H       Li7/H       Be7/H      Li8/H&up
 2.360E+01   1.798E-01   2.613E+06   4.553E+06   6.820E+06   7.556E-01   8.051E-10   3.516E-03   1.706E-09   2.796E+00
 2.138E+01   2.191E-01   1.758E+06   3.061E+06   4.584E+06   5.609E-01   8.224E-10   4.291E-03   1.704E-09   2.293E+00
 1.936E+01   2.670E-01   1.183E+06   2.057E+06   3.080E+06   4.163E-01   8.405E-10   5.237E-03   1.702E-09   1.880E+00
 1.754E+01   3.256E-01   7.964E+05   1.382E+06   2.069E+06   3.089E-01   8.594E-10   6.394E-03   1.700E-09   1.541E+00
 1.589E+01   3.971E-01   5.360E+05   9.287E+05   1.389E+06   2.291E-01   8.790E-10   7.810E-03   1.697E-09   1.263E+00
 1.439E+01   4.844E-01   3.607E+05   6.235E+05   9.325E+05   1.699E-01   8.989E-10   9.542E-03   1.694E-09   1.035E+00
 1.303E+01   5.911E-01   2.428E+05   4.184E+05   6.255E+05   1.259E-01   9.192E-10   1.166E-02   1.689E-09   8.481E-01
 1.180E+01   7.217E-01   1.634E+05   2.806E+05   4.193E+05   9.329E-02   9.397E-10   1.427E-02   1.684E-09   6.947E-01
 1.069E+01   8.814E-01   1.100E+05   1.881E+05   2.808E+05   6.906E-02   9.602E-10   1.747E-02   1.678E-09   5.688E-01
 9.795E+00   1.052E+00   7.749E+04   1.319E+05   1.968E+05   5.290E-02   9.785E-10   1.784E-02   1.671E-09   4.765E-01
 9.042E+00   1.238E+00   5.626E+04   9.525E+04   1.420E+05   4.143E-02   9.953E-10   1.885E-02   1.664E-09   4.051E-01
 8.423E+00   1.430E+00   4.237E+04   7.136E+04   1.064E+05   3.335E-02   1.010E-09   1.945E-02   1.657E-09   3.508E-01
 7.907E+00   1.627E+00   3.290E+04   5.511E+04   8.211E+04   2.746E-02   1.024E-09   1.985E-02   1.649E-09   3.084E-01
 7.471E+00   1.827E+00   2.623E+04   4.369E+04   6.506E+04   2.306E-02   1.036E-09   2.012E-02   1.642E-09   2.747E-01
 7.096E+00   2.030E+00   2.135E+04   3.536E+04   5.264E+04   1.968E-02   1.048E-09   2.057E-02   1.635E-09   2.472E-01
